_id,Site,Province,Region,SNRT_RS,Latitude,Longitude,Altitude,Category,TNT,FM,ConfigUser,CreationDate,Photo,control,Code,Fixe,Gsm,files,AM,Administration,FH,ST
1,Abteh,TanTan,Guelmim-Oued Noun,Agadir,27.90268,-11.45013,96,M,true,true,h.zagrari,2025-01-24T11:55:32.502Z,sites/logo.png,true,,,0682092372,,false,false,false,false
2,Aday,Guelmim,Guelmim-Oued Noun,Agadir,29.14805,-9.29888,707,P,true,true,h.zagrari,2024-12-03T11:00:32.381Z,,true,4446,,0660130381,,false,false,false,false
3,Adrej,Sefrou,Fès-Meknès,Fès-Meknès,33.618333,-4.434553,985,P,true,true,m.benhmidou,2024-08-18T17:58:32.290Z,,false,4077,,0674908930,,false,false,false,false
4,Afourar,Azilal,Beni Mellal-Khénifra,Casablanca,32.233611,-6.532222,449,P,true,true,l.elbouti,2024-08-18T18:00:12.111Z,,false,4047,,0674908903,,false,false,false,false
5,Afra-ait-khalfoun,Zagora,Darâa-Tafilalet,Marrakech,30.710866,-6.256499,955,P,true,true,b.haddad,2024-08-18T18:01:02.892Z,,false,5000,,0674908908,,false,false,false,false
6,Agadir Oufella,Agadir,Sous-Massa,Agadir,30.43163,-9.62556,187,G,true,true,h.aoufir,2024-08-18T18:01:21.405Z,,true,4771,,0657580259,,false,false,false,false
7,Agdz,Zagora,Darâa-Tafilalet,Marrakech,30.694444,-6.445278,952,P,true,true,b.haddad,2024-08-18T18:01:55.734Z,,false,5000,,0674908908,,false,false,false,false
8,Aghbala,Beni Mellal,Beni Mellal-Khénifra,Fès-Meknès,32.2753,-5.362,1133,P,true,true,m.benhmidou,2024-08-18T18:14:01.710Z,,false,4077,,0674908930,,false,false,false,false
9,Aghbalou N'Kerdous,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.766302,-5.31757,1242,P,true,true,m.benhmidou,2024-08-18T18:14:36.329Z,,false,4077,,0674908930,,false,false,false,false
10,Ahfir,Berkane,L'Oriental,Oujda,34.943611,-2.098333,259,P,true,false,a.lharchichi,2024-08-18T18:15:13.699Z,,false,,,0674908926,,false,false,false,false
11,Ain Chair,Figuig,L'Oriental,Oujda,32.216539,-2.522703,983,P,true,true,h.zagrari,2025-01-15T14:07:33.074Z,,true,4062,,0674908921,,false,false,false,false
12,Ain Chwater,Figuig,L'Oriental,Oujda,31.995278,-2.967778,827,P,true,true,h.zagrari,2025-01-15T14:07:36.586Z,,true,4062,,0674908921,,false,false,false,false
13,Ain-chock,Casablanca,Grand Casablanca-Settat,Casablanca,33.536944,-7.582222,126,G,true,true,h.zagrari,2024-08-19T16:40:19.748Z,,true,4060,0674908880,0674908919,,false,true,false,false
14,Ait Hani,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.776642,-5.458109,1982,P,true,true,m.benhmidou,2024-08-18T18:17:31.490Z,,false,4077,,0674908930,,false,false,false,false
15,Ait-boulli,Azilal,Beni Mellal-Khénifra,Casablanca,31.601389,-6.606944,1685,P,true,true,h.zagrari,2024-08-18T18:18:32.108Z,,false,,,,,false,false,false,false
16,Ait-mhammed,Azilal,Beni Mellal-Khénifra,Casablanca,31.879444,-6.479722,1717,P,true,true,h.attahir,2024-08-18T18:18:53.942Z,,false,,4047,0674908903,,false,false,false,false
17,Ait-ouaarda,Azilal,Beni Mellal-Khénifra,Casablanca,32.122778,-6.535278,1000,A,false,false,l.elbouti,2024-08-18T18:22:51.610Z,,false,,,0674908903,,false,false,false,false
18,Ait-sedrat-soufla,Tinghire,Darâa-Tafilalet,Marrakech,31.492103,-5.953404,1671,P,true,true,b.haddad,2024-08-18T18:23:23.920Z,,false,5000,,0674908908,,false,false,false,false
19,Ajdir,Taza,Fès-Meknès,Fès-Meknès,34.712925,-3.962972,1629,P,true,true,m.benhmidou,2024-08-18T18:24:03.088Z,,false,4077,,0674908930,,false,false,false,false
20,Akka,Tata,Sous-Massa,Agadir,29.38837,-8.25144,530,P,true,true,b.mellouki,2024-08-18T18:24:24.412Z,,false,4068,0528802169,0674908927,,false,false,false,false
21,Akka Ighan,Tata,Sous-Massa,Agadir,29.996389,-7.5275,787,P,true,true,b.mellouki,2024-08-18T18:24:42.671Z,,false,4068,0528802169,0674908927,,false,false,false,false
22,Aknoul,Taza,Fès-Meknès,Fès-Meknès,34.651721,-3.868414,1121,P,true,true,h.zagrari,2025-01-07T12:03:57.502Z,,false,4077,,0674908930,,false,false,false,false
23,El Menzel,Sefrou,Fès-Meknès,Fès-Meknès,33.841582,-4.551942,720,P,true,true,m.benhmidou,2024-07-04T12:27:53.964Z,,false,4077,,0674908930,,,,,
24,Allougoum,Tata,Sous-Massa,Agadir,30.273333,-6.835,844,M,true,true,b.mellouki,2024-08-07T23:10:34.792Z,,false,4068,0528802169,0674908927,,,,,
25,Alnif,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.31635,-5.283893,1411,P,true,true,m.benhmidou,2024-07-04T11:45:53.561Z,,false,4077,,0674908930,,,,,
26,Amellagou,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.996427,-5.002072,1332,P,true,true,m.benhmidou,2024-07-04T11:48:17.935Z,,false,4077,,0674908930,,,,,
27,Amalenne,Tiznit,Sous-Massa,Agadir,29.753611,-8.966667,913,P,true,false,l.elbouti,2024-03-22T12:04:02.065Z,,false,,,,,,,,
28,Amoguer,Midelt,Darâa-Tafilalet,Fès-Meknès,32.274642,-4.937482,1630,P,true,true,m.benhmidou,2024-07-04T11:50:20.559Z,,false,4077,,0674908930,,,,,
29,Anefgou,Midelt,Beni Mellal-Khénifra,Fès-Meknès,32.286317,-5.398643,1980,P,true,true,h.zagrari,2024-08-24T17:34:49.940Z,,false,4077,,0674908930,,false,false,false,false
30,Anemzi,Midelt,Beni Mellal-Khénifra,Fès-Meknès,32.323756,-5.267043,2350,P,true,true,h.zagrari,2024-08-24T17:35:15.285Z,,false,4077,,0674908930,,false,false,false,false
31,Anzi,Tiznit,Sous-Massa,Agadir,29.659722,-9.385278,520,P,true,false,l.elbouti,2024-03-22T12:21:27.909Z,,false,,,,,,,,
32,Aoufous,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.69104,-4.180849,905,P,true,true,m.benhmidou,2024-07-04T12:00:50.906Z,,false,4077,,0674908930,,,,,
33,Aoulouz,Taroudant,Sous-Massa,Agadir,30.663333,-8.187222,689,P,true,true,a.atia,2024-08-01T16:41:14.825Z,,false,4075,,0674908934,,,,,
34,Aourir,Agadir,Sous-Massa,Agadir,30.489167,-9.646944,280,P,true,true,l.elbouti,2024-03-25T14:35:46.280Z,,false,,,,,,,,
35,Argana,Taroudant,Sous-Massa,Agadir,30.777204,-9.122353,1240,P,true,false,l.elbouti,2024-03-25T14:37:04.089Z,,false,,,,,,,,
36,Assekal,Taroudant,Sous-Massa,Agadir,30.641111,-9.286111,1179,M,true,true,l.elbouti,2024-03-25T14:39:38.390Z,,false,,,,,,,,
37,Assa,Assa-Zag,Guelmim-Oued Noun,Agadir,28.604167,-9.431944,338,M,true,true,h.zagrari,2025-01-08T10:47:16.462Z,,false,,,,,false,false,false,false
38,Assoul,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.950037,-5.207513,1647,P,true,true,m.benhmidou,2024-07-04T12:03:16.606Z,,false,4077,,0674908930,,,,,
39,Azagar N'Irs,Taroudant,Sous-Massa,Agadir,30.304167,-8.243611,1182,P,true,true,l.elbouti,2024-03-25T14:43:25.516Z,,false,,,,,,,,
40,Azilal (azlafen),Azilal,Beni Mellal-Khénifra,Casablanca,31.966111,-6.57,1372,P,true,false,l.elbouti,2024-07-05T11:34:06.424Z,,false,,,0674908903,,,,,
41,Azougar,Ifrane,Fès-Meknès,Fès-Meknès,33.404868,-5.1034,2070,M,true,true,h.zagrari,2024-09-01T11:23:55.659Z,,true,4049,,0674908910,,false,false,false,false
42,Azrou,Azrou,Fès-Meknès,Fès-Meknès,33.438938,-5.218903,1441,P,true,true,m.benhmidou,2024-07-04T12:08:42.109Z,,false,4077,,0674908930,,,,,
43,Babet,Al hoceima,Tanger-Tétouan-Al Hoceima,Al Hoceima,35.010278,-4.196111,1226,P,true,true,h.zagrari,2024-08-18T17:27:38.903Z,,false,,,,,false,false,false,false
44,Ben Yaccoub,Tata,Sous-Massa,Agadir,30.038056,-7.938611,1100,P,true,true,b.mellouki,2024-08-07T23:09:34.786Z,,false,4068,,0674908927,,,,,
45,Beni Mellal,Beni Mellal,Beni Mellal-Khénifra,Casablanca,32.336111,-6.353056,534,P,true,false,l.elbouti,2024-07-05T11:35:09.574Z,,false,,,0674908903,,,,,
47,Beni Guemil,Al hoceima,Tanger-Tétouan-Al Hoceima,Al Hoceima,35.037778,-4.356111,1069,P,true,true,h.zagrari,2024-08-18T17:28:14.933Z,,false,,,,,false,false,false,false
48,Bni Oulid,Taounate,Fès-Meknès,Fès-Meknès,34.579229,-4.451345,586,P,true,true,m.benhmidou,2024-07-04T12:12:32.423Z,,false,4077,,0674908930,,,,,
49,Bni Tajjit (jbel boudhar),Figuig,L'Oriental,Oujda,32.290833,-3.468889,1107,P,true,true,h.zagrari,2025-01-15T14:06:23.907Z,,true,4062,,0674908921,,false,false,false,false
50,Bouanane,Figuig,L'Oriental,Oujda,32.0425,-3.05,865,P,true,true,h.zagrari,2025-01-15T14:07:39.947Z,,true,4062,,0674908921,,false,false,false,false
51,Bouarfa,Figuig,L'Oriental,Oujda,32.574444,-1.9475,1680,M,true,true,h.zagrari,2025-01-15T14:07:43.074Z,,true,4062,,0674908921,,false,false,false,false
52,Boudnib,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.948436,-3.605542,954,P,true,true,m.benhmidou,2024-07-04T12:14:43.935Z,,false,4077,,0674908930,,,,,
53,Bouizakarne,Guelmim,Guelmim-Oued Noun,Agadir,29.176667,-9.709722,633,P,true,false,l.elbouti,2024-03-27T13:26:35.180Z,,false,,,,,,,,
54,Boujdour,Boujdour,Laâyoune-Saguia El Hamra,Laâyoune,26.119613,-14.486916,29,G,true,true,a.aitbrahim,2024-07-09T18:53:29.797Z,,false,4255,,0660130175,,,,,
55,Boukhouali,Taourirt,L'Oriental,Oujda,34.335556,-2.566667,1725,G,true,true,m.slimani,2024-07-05T09:49:50.859Z,,true,4063,0536698136,0674908922,,,,,
56,Boukraa,Laâyoune,Laâyoune-Saguia El Hamra,Laâyoune,26.324227,-12.852376,223,P,true,true,a.aitbrahim,2024-07-09T18:57:23.823Z,,false,4255,,0660130175,,,,,
57,Boulmane,Boulmane,Fès-Meknès,Fès-Meknès,33.368333,-4.729167,1715,P,true,true,m.benhmidou,2024-07-04T12:18:21.186Z,,false,4077,,0674908930,,,,,
58,Boumalen-dades,Tinghire,Darâa-Tafilalet,Marrakech,31.368021,-5.986422,1580,P,true,true,b.haddad,2024-07-19T01:43:52.916Z,,false,5000,,0674908908,,,,,
59,Boumia,Midelt,Darâa-Tafilalet,Fès-Meknès,32.721783,-5.106607,1520,P,true,true,m.benhmidou,2024-07-04T12:21:37.071Z,,false,4077,,0674908930,,,,,
60,Bouzemlane,Taza,Fès-Meknès,Fès-Meknès,34.013329,-4.553335,432,P,true,true,m.benhmidou,2024-07-04T12:23:49.798Z,,false,4077,,0674908930,,,,,
61,Bouzineb,Al hoceima,Tanger-Tétouan-Al Hoceima,Al Hoceima,34.811389,-4.050833,1684,P,true,true,h.zagrari,2024-08-18T17:29:15.341Z,,false,,,,,false,false,false,false
62,Bzou,Azilal,Beni Mellal-Khénifra,Casablanca,32.071944,-7.046389,539,P,true,true,l.elbouti,2024-07-05T11:35:45.807Z,,false,,,0674908903,,,,,
63,Cap Spartel,Tanger,Tanger-Tétouan-Al Hoceima,Tanger,35.787312,-5.905417,326,G,true,true,h.elhafid,2024-07-04T16:40:50.657Z,,false,,,,,,,,
64,Chefchaouen(tanakob),Chefchaouen,Tanger-Tétouan-Al Hoceima,Tanger,35.10783,-5.338818,915,M,true,true,h.elhafid,2024-07-04T10:23:45.052Z,,false,,,,,,,,
65,Dakhla,Dakhla,Dakhla-Oued Ed Dahab,Laâyoune,23.693517,-15.934612,7,G,true,true,a.aitbrahim,2024-07-09T19:10:35.029Z,,true,,,0711943727,,,,,
66,Demnate,Azilal,Beni Mellal-Khénifra,Casablanca,31.758611,-7.010278,959,P,true,true,l.elbouti,2024-07-05T11:36:46.368Z,,false,,,0674908903,,,,,
67,Dhar Mhrez,Fès,Fès-Meknès,Fès-Meknès,34.045833,-4.979444,425,P,true,false,h.zagrari,2024-08-24T17:35:56.166Z,,false,4077,,0674908930,,false,false,true,false
68,El Hajiba,Ben Slimane,Grand Casablanca-Settat,Casablanca,33.573889,-7.079722,360,P,false,true,h.zagrari,2024-08-18T17:29:46.259Z,,false,,,,,false,false,true,false
69,El-jadida ville,El Jadida,Grand Casablanca-Settat,Casablanca,33.238889,-8.516944,22,P,true,false,h.zagrari,2024-08-18T17:30:25.758Z,,true,,,,,false,false,false,false
70,Leksiba,Beni Mellal,Beni Mellal-Khénifra,Casablanca,32.573611,-6.038056,1032,P,true,true,h.zagrari,2025-01-08T10:25:09.865Z,,false,,,0674908903,,false,false,false,false
71,El-marsa,Laâyoune,Laâyoune-Saguia El Hamra,Laâyoune,27.09616,-13.408807,7,P,true,false,a.aitbrahim,2024-07-09T19:02:29.451Z,,false,4255,,0660130175,,,,,
72,El-watea,TanTan,Guelmim-Oued Noun,Agadir,28.489167,-11.337222,27,P,true,true,h.zagrari,2025-01-24T11:57:13.246Z,,false,,,,,false,false,false,false
73,Enjil,Boulmane,Fès-Meknès,Fès-Meknès,33.235278,-4.636389,1722,P,true,false,m.benhmidou,2024-07-04T12:31:11.152Z,,false,4077,,0674908930,,,,,
74,Essaouira (AZLEF),Essaouira,Marrakech-Safi,Marrakech,31.492222,-9.733333,122,P,true,false,l.elbouti,2024-12-24T16:13:48.858Z,,false,5000,,0674908908,,false,false,false,false
75,Fask,Guelmim,Guelmim-Oued Noun,Agadir,28.999722,-9.833333,350,P,true,false,l.elbouti,2024-03-28T14:03:10.789Z,,false,,,,,,,,
76,Figuig,Figuig,L'Oriental,Oujda,32.133333,-1.262222,1134,M,true,true,h.zagrari,2024-10-04T12:47:06.572Z,,true,4079,,0674908938,,false,false,false,false
77,Fogo,Sidi Ifni,Guelmim-Oued Noun,Agadir,29.203889,-10.021944,1219,G,true,true,l.elbouti,2024-03-28T14:34:01.078Z,,false,,,,,,,,
78,Foum Lahcen,Tata,Sous-Massa,Agadir,29.013889,-8.879167,487,P,true,true,b.mellouki,2024-07-04T14:43:25.387Z,,false,4068,0528802169,0674908927,,,,,
79,Foum Zguid,Tata,Sous-Massa,Agadir,30.089167,-6.873333,763,M,true,true,b.mellouki,2024-08-07T23:11:56.932Z,,false,4068,0528802169,0674908927,,,,,
80,Fretissa,Boulmane,Fès-Meknès,Fès-Meknès,33.621667,-3.548333,734,P,true,false,m.benhmidou,2024-07-04T12:35:46.271Z,,false,4077,,0674908930,,,,,
81,Goulmima,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.703213,-4.951386,1143,P,true,true,m.benhmidou,2024-07-04T12:37:45.220Z,,false,4077,,0674908930,,,,,
82,Guelmime,Guelmim,Guelmim-Oued Noun,Agadir,29.006667,-10.024167,584,P,true,true,h.zagrari,2024-12-27T08:00:36.313Z,,false,,,,,false,false,true,false
84,Had Msila,Taza,Fès-Meknès,Fès-Meknès,34.424722,-4.180556,539,P,true,false,m.benhmidou,2024-07-04T12:41:10.662Z,,false,4077,,0674908930,,,,,
85,Had Tahala,Tiznit,Sous-Massa,Agadir,29.6375,-9.091111,870,P,true,true,l.elbouti,2024-03-29T13:11:37.572Z,,false,,,,,,,,
86,Hafa Safa,Tétouan,Tanger-Tétouan-Al Hoceima,Tanger,35.484774,-5.358617,1220,G,true,true,b.maach,2024-07-11T09:41:55.346Z,,true,4064,,0674908923,,,,,
88,Idaoutanane,Agadir,Sous-Massa,Agadir,30.675,-9.475278,1293,P,true,true,l.elbouti,2024-03-29T13:23:16.100Z,,false,,,,,,,,
89,Ifrane Atlas Sghir,Guelmim,Guelmim-Oued Noun,Agadir,29.220833,-9.484722,838,P,true,false,l.elbouti,2024-03-29T13:27:31.237Z,,false,,,,,,,,
90,Ighrem,Taroudant,Sous-Massa,Agadir,30.108333,-8.455278,1908,P,true,true,a.atia,2024-08-01T16:41:45.231Z,,false,4075,,0674908934,,,,,
91,Imider,Tinghire,Darâa-Tafilalet,Marrakech,31.363308,-5.789436,1430,P,true,true,b.haddad,2024-07-18T22:22:19.234Z,,false,,,,,,,,
92,Imilchil,Midelt,Darâa-Tafilalet,Fès-Meknès,32.152003,-5.630954,2149,P,true,true,m.benhmidou,2024-07-04T12:44:07.957Z,,false,4077,,0674908930,,,,,
93,Imintanoute,Chichaoua,Marrakech-Safi,Marrakech,31.175701,-8.857722,950,P,true,true,b.haddad,2024-07-18T22:30:22.985Z,,false,,,,,,,,
94,Imintlit,Essaouira,Marrakech-Safi,Marrakech,31.215344,-9.547811,546,P,true,false,b.haddad,2024-07-18T22:43:44.670Z,,false,,,,,,,,
95,Imouzer Marmoucha,Boulmane,Fès-Meknès,Fès-Meknès,33.464971,-4.294698,1675,P,true,true,m.benhmidou,2024-07-04T12:46:16.845Z,,false,4077,,0674908930,,,,,
96,Issafen,Tata,Sous-Massa,Agadir,29.898333,-8.529722,1307,P,true,true,b.mellouki,2024-07-04T14:44:57.988Z,,false,4068,0528802169,0674908927,,,,,
97,Itzer,Midelt,Darâa-Tafilalet,Fès-Meknès,32.878333,-5.055,1669,P,true,false,m.benhmidou,2024-07-04T12:47:33.633Z,,false,4077,,0674908930,,,,,
98,Izeft,Errachidia,Darâa-Tafilalet,Fès-Meknès,32.07724,-4.320303,1912,G,true,true,m.dissi,2024-07-18T11:12:14.469Z,,true,4077,,0674908930,,,,,
99,Jbel dehdouh,Al hoceima,Tanger-Tétouan-Al Hoceima,Al Hoceima,34.910556,-4.608056,1840,P,true,true,h.zagrari,2024-08-18T17:34:34.355Z,,false,,,,,false,false,false,false
